Date,Current_Speed
2015-01-04,1.5993428306022466
2015-01-11,1.602004971909542
2015-01-18,1.8818992936420227
2015-01-25,2.1661673004020026
2015-02-01,1.9046612580021611
2015-02-08,1.9706807299528712
2015-02-15,2.3721970001505053
2015-02-22,2.2198413828796086
2015-03-01,1.953613244155717
2015-03-08,2.1100039416640213
2015-03-15,1.8388777905579052
2015-03-22,1.7492156353078332
2015-03-29,1.7880502864569858
2015-04-05,1.2473439510684403
2015-04-12,1.1753586013536146
2015-04-19,1.3051809081299215
2015-04-26,1.1258724468127177
2015-05-03,1.3213575335722265
2015-05-10,1.0308870635530505
2015-05-17,0.9111848226839148
2015-05-24,1.4967753167352837
2015-05-31,1.1973366185599854
2015-06-07,1.3220137079907561
2015-06-14,1.1134890336369108
2015-06-21,1.3987618690730792
2015-06-28,1.6525266857981944
2015-07-05,1.5298012845155395
2015-07-12,1.964797435812913
2015-07-19,1.8922338480381227
2015-07-26,2.0632225791617422
2015-08-02,2.0911506105009483
2015-08-09,2.6479637582444946
2015-08-16,2.3136549921014398
2015-08-23,2.114812251257847
2015-08-30,2.472017103763345
2015-09-06,2.0173232029526242
2015-09-13,2.233334048121349
2015-09-20,1.710427561245929
2015-09-27,1.734020622364093
2015-10-04,1.9293722471738248
2015-10-11,1.928035483855303
2015-10-18,1.7119120702161104
2015-10-25,1.5653090144019541
2015-11-01,1.4582873279353143
2015-11-08,1.1767874805838074
2015-11-15,1.3096767212720313
2015-11-22,1.3715178087590156
2015-11-29,1.7139163239010757
2015-12-06,1.6372317249668642
2015-12-13,1.3058306398070554
2015-12-20,1.8324552078570746
2015-12-27,1.813325711772957
2016-01-03,1.8846155999388088
2016-01-10,2.2719930899119527
2016-01-17,2.478561490521074
2016-01-24,2.567817352943637
2016-01-31,2.3036484283022998
2016-02-07,2.475665646172464
2016-02-14,2.6426071233297397
2016-02-21,2.7814634624734986
2016-02-28,2.47167327377365
2016-03-06,2.4843601376140647
2016-03-13,2.230294334319192
2016-03-20,2.12312026120575
2016-03-27,2.4221629966226192
2016-04-03,2.421248005714165
2016-04-10,2.0259401435401543
2016-04-17,2.13834499355652
2016-04-24,1.9207658758891295
2016-05-01,1.6494841161321474
2016-05-08,1.804770999758976
2016-05-15,2.021252876244167
2016-05-22,1.7164803551289827
2016-05-29,2.0754206098200934
2016-06-05,1.3045590462352228
2016-06-12,2.0828191717546467
2016-06-19,2.0450478276257487
2016-06-26,2.090540697763048
2016-07-03,2.2983521553071
2016-07-10,2.0121440492236013
2016-07-17,2.4884272084543824
2016-07-24,2.7129838434227467
2016-07-31,3.0270707418951313
2016-08-07,2.6938540776879782
2016-08-14,2.6746557164703892
2016-08-21,2.7460030283321197
2016-08-28,3.0105885448831224
2016-09-04,2.847242154878766
2016-09-11,2.605609288366992
2016-09-18,2.725015072644555
2016-09-25,2.539073342013387
2016-10-02,2.6037289981065785
2016-10-09,2.1599315490807514
2016-10-16,2.1321059846585633
2016-10-23,2.030017040253171
2016-10-30,1.7458050774267488
2016-11-06,2.0517159340702076
2016-11-13,2.025856617386951
2016-11-20,1.9846682542794651
2016-11-27,1.9755744519822633
2016-12-04,1.805433918643089
2016-12-11,2.0943096063265303
2016-12-18,2.219095510672761
2016-12-25,2.249886714011896
2017-01-01,2.5077428576667997
2017-01-08,2.750468003506687
2017-01-15,3.1695987662639906
2017-01-22,2.9364768916867656
2017-01-29,3.0430020110913807
2017-02-05,3.0426189381894733
2017-02-12,2.7126001939892186
2017-02-19,3.1010516619591835
2017-02-26,3.099554163330913
2017-03-05,3.5341403554438857
2017-03-12,2.9330891361641735
2017-03-19,2.9426710544886063
2017-03-26,2.7727154782027306
2017-04-02,2.436264392476094
2017-04-09,2.7889067307592263
2017-04-16,2.6080250205154716
2017-04-23,2.526645060288213
2017-04-30,2.1166305760942232
2017-05-07,2.5330507408445126
2017-05-14,1.9532753503925169
2017-05-21,2.361016981711027
2017-05-28,2.720583003819288
2017-06-04,2.150400802027034
2017-06-11,2.3251791249590474
2017-06-18,2.567568686995643
2017-06-25,2.5696470370329796
2017-07-02,2.489867313786773
2017-07-09,2.943370427104985
2017-07-16,2.8399008432766637
2017-07-23,3.2562798152474337
2017-07-30,3.067607086100068
2017-08-06,3.6274950023462145
2017-08-13,3.1997037785817795
2017-08-20,3.301942133807892
2017-08-27,3.510211564816642
2017-09-03,3.0553190696600376
2017-09-10,3.277053316041225
2017-09-17,3.403790136878371
2017-09-24,2.7181611852315335
2017-10-01,2.9669267717064596
2017-10-08,2.872318726705907
2017-10-15,2.874002988333578
2017-10-22,2.381048528703988
2017-10-29,2.2944167444363175
2017-11-05,2.616880191780672
2017-11-12,2.5530424975976107
